D3277,Guiyezhan2,modern cultivar,2008,indica,Guangdong,SC,16.14,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536908/CRR1536908_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536908/CRR1536908_r2.fq.gz
D1323,Jinyuan45,modern cultivar,2008,japonica,Tianjin,NC,16.78,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534824/CRR1534824_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534824/CRR1534824_r2.fq.gz
D1516,Shendap68,modern cultivar,2008,japonica,Shandong,CC-J,12.35,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535027/CRR1535027_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535027/CRR1535027_r2.fq.gz
D3251,Minxian25,modern cultivar,2009,indica,Fujian,SC,12.07,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536881/CRR1536881_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536881/CRR1536881_r2.fq.gz
D1124,Tongyu06-9128,modern cultivar,2010,japonica,Jilin,NE,11.57,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534613/CRR1534613_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534613/CRR1534613_r2.fq.gz
D3523,Wen1299,modern cultivar,2010,indica,Zhejiang,CC-I,21.33,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537188/CRR1537188_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537188/CRR1537188_r2.fq.gz
D1107,Fengyu107,modern cultivar,2010,japonica,Jilin,NE,16.42,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534599/CRR1534599_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534599/CRR1534599_r2.fq.gz
D1181,Liaogeng113,modern cultivar,2010,japonica,Liaoning,NE,12.68,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534673/CRR1534673_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534673/CRR1534673_r2.fq.gz
D1105,TJ7002,modern cultivar,2010,japonica,Jilin,NE,17.5,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534597/CRR1534597_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534597/CRR1534597_r2.fq.gz
D1461,Yanggu1,modern cultivar,2010,japonica,Shandong,NC,19.92,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534970/CRR1534970_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534970/CRR1534970_r2.fq.gz
