samples	Yield_per_plant
ZJN928	28.0
ZJN929	34.22
ZJN932	31.91
ZJN933	50.36
ZJN937	41.58
ZJN938	55.25
ZJN939	27.2
ZJN940	22.64
ZJN942	23.42
ZJN943	31.98
ZJN944	28.29
ZJN945	35.74
ZJN947	40.15
ZJN949	33.87
ZJN950	28.22
ZJN951	23.68
ZJN952	20.75
ZJN953	22.26
ZJN961	49.84
ZJN962	32.8
ZJN963	38.79
ZJN966	32.16
ZJN967	31.69
ZJN970	27.95
ZJN973	24.65
ZJN981	30.59
ZJN983	32.58
ZJN986	20.04
ZJN987	37.05
ZJN988	24.08
ZJN989	43.55
ZJN992	43.38
ZJN995	30.74
ZJN996	33.98
ZJN998	36.52
ZJN999	22.18
ZJN1001	37.32
ZJN1004	34.38
ZJN1005	16.87
ZJN1008	16.08
ZJN1011	25.48
ZJN1013	31.22
ZJN1014	25.86
ZJN1015	47.02
ZJN1016	49.22
ZJN1019	35.0
ZJN1023	32.61
ZJN1027	25.14
ZJN1029	23.12
ZJN1032	31.8
ZJN1036	43.53
ZJN1037	69.33
ZJN1038	41.64
ZJN1039	70.29
ZJN1042	46.7
ZJN1044	41.01
ZJN1045	23.17
ZJN1046	61.04
ZJN1055	35.11
ZJN1059	31.78
ZJN1072	41.56
ZJN1074	25.0
ZJN1075	46.69
ZJN1078	36.7
ZJN1080	51.43
ZJN1082	29.96
ZJN1085	40.71
ZJN1086	29.19
ZJN1087	40.15
ZJN1088	51.52
ZJN1089	52.71
ZJN1091	32.24
ZJN1092	37.65
ZJN1095	40.95
ZJN1100	45.04
ZJN1101	34.87
ZJN1105	19.44
ZJN1106	37.27
ZJN1111	31.55
ZJN1112	37.86
ZJN1114	39.99
ZJN1116	38.95
ZJN1118	23.98
ZJN1119	38.81
ZJN1123	28.26
ZJN1128	42.27
ZJN1129	60.14
ZJN1130	30.83
ZJN1131	58.38
ZJN1142	28.48
ZJN1143	49.7
ZJN1146	45.58
ZJN1157	32.61
ZJN1163	38.43
ZJN1164	30.33
ZJN1165	33.78
ZJN1166	27.34
ZJN1172	43.35
ZJN1177	26.3
ZJN1179	39.89
ZJN1180	33.82
ZJN1189	34.95
ZJN1190	24.61
ZJN1191	30.16
ZJN1192	32.76
