samples	Seed_setting_rate
ZJN869	0.85
ZJN871	0.68
ZJN872	0.86
ZJN877	0.6
ZJN878	0.7
ZJN879	0.69
ZJN880	0.88
ZJN881	0.82
ZJN885	0.8
ZJN887	0.73
ZJN891	0.86
ZJN896	0.51
ZJN898	0.74
ZJN899	0.93
ZJN900	0.8
ZJN901	0.82
ZJN906	0.8
ZJN910	0.91
ZJN915	0.62
ZJN916	0.64
ZJN917	0.67
ZJN918	0.78
ZJN921	0.66
ZJN923	0.69
ZJN926	0.66
ZJN928	0.58
ZJN929	0.74
ZJN932	0.87
ZJN933	0.85
ZJN937	0.83
ZJN938	0.77
ZJN939	0.81
ZJN940	0.85
ZJN942	0.58
ZJN943	0.69
ZJN944	0.73
ZJN945	0.67
ZJN947	0.74
ZJN949	0.64
ZJN950	0.58
ZJN951	0.63
ZJN952	0.56
ZJN953	0.84
ZJN961	0.65
ZJN962	0.91
ZJN963	0.71
ZJN966	0.81
ZJN967	0.73
ZJN970	0.61
ZJN973	0.74
ZJN981	0.84
ZJN983	0.76
ZJN986	0.71
ZJN987	0.62
ZJN988	0.81
ZJN989	0.76
ZJN992	0.63
ZJN995	0.66
ZJN996	0.75
ZJN998	0.64
ZJN999	0.73
ZJN1001	0.71
ZJN1004	0.75
ZJN1005	0.6
ZJN1008	0.73
ZJN1011	0.73
ZJN1013	0.78
ZJN1014	0.79
ZJN1015	0.81
ZJN1016	0.87
ZJN1019	0.79
ZJN1023	0.76
ZJN1027	0.75
ZJN1029	0.81
ZJN1032	0.63
ZJN1036	0.68
ZJN1037	0.66
ZJN1038	0.66
ZJN1039	0.8
ZJN1042	0.82
ZJN1044	0.75
ZJN1045	0.61
ZJN1046	0.55
ZJN1055	0.73
ZJN1059	0.7
ZJN1072	0.8
ZJN1074	0.77
ZJN1075	0.87
ZJN1078	0.61
ZJN1080	0.71
ZJN1082	0.62
ZJN1085	0.86
ZJN1086	0.67
ZJN1087	0.91
ZJN1088	0.7
ZJN1089	0.73
ZJN1091	0.76
ZJN1092	0.75
ZJN1095	0.91
ZJN1100	0.73
ZJN1101	0.68
ZJN1105	0.7
ZJN1106	0.84
ZJN1111	0.85
ZJN1112	0.74
ZJN1114	0.78
ZJN1116	0.85
ZJN1118	0.47
ZJN1119	0.66
ZJN1123	0.88
ZJN1128	0.76
ZJN1129	0.78
ZJN1130	0.72
ZJN1131	0.74
ZJN1142	0.69
ZJN1143	0.76
ZJN1146	0.8
ZJN1157	0.52
ZJN1163	0.7
ZJN1164	0.84
ZJN1165	0.83
ZJN1166	0.75
ZJN1172	0.94
ZJN1177	0.67
ZJN1179	0.74
ZJN1180	0.8
ZJN1189	0.74
ZJN1190	0.71
ZJN1191	0.69
ZJN1192	0.73
ZJN1195	0.65
ZJN1198	0.78
ZJN1199	0.77
ZJN1204	0.77
ZJN1205	0.94
ZJN1208	0.7
ZJN1209	0.89
ZJN1210	0.73
ZJN1214	0.78
ZJN1218	0.77
ZJN1219	0.66
ZJN1220	0.64
ZJN1224	0.83
ZJN1226	0.63
ZJN1227	0.73
