samples	Tiller_angle
ZJN862	66.7
ZJN863	68.3
ZJN865	70.0
ZJN866	78.3
ZJN869	85.0
ZJN871	83.0
ZJN872	76.7
ZJN877	83.3
ZJN878	73.3
ZJN879	71.7
ZJN880	78.3
ZJN881	84.7
ZJN885	83.3
ZJN887	80.3
ZJN891	75.3
ZJN896	73.3
ZJN898	70.0
ZJN899	73.3
ZJN900	70.0
ZJN901	79.7
ZJN906	82.3
ZJN910	77.3
ZJN915	70.0
ZJN916	86.0
ZJN917	81.7
ZJN918	84.3
ZJN921	83.0
ZJN923	81.7
ZJN926	84.3
ZJN928	83.0
ZJN929	81.3
ZJN932	81.7
ZJN933	85.3
ZJN937	77.3
ZJN938	83.7
ZJN939	84.3
ZJN940	76.0
ZJN942	66.7
ZJN943	73.3
ZJN944	66.7
ZJN945	81.7
ZJN947	80.3
ZJN949	80.7
ZJN950	77.0
ZJN951	85.0
ZJN952	81.0
ZJN953	84.3
ZJN961	78.3
ZJN962	85.0
ZJN963	82.0
ZJN966	75.0
ZJN967	85.7
ZJN970	82.0
ZJN973	80.0
ZJN981	80.0
ZJN983	69.3
ZJN986	79.7
ZJN987	71.0
ZJN988	80.7
ZJN989	79.3
ZJN992	85.3
ZJN995	85.3
ZJN996	74.3
ZJN998	61.7
ZJN999	76.3
ZJN1001	78.7
ZJN1004	85.7
ZJN1005	81.0
ZJN1008	83.0
ZJN1011	85.0
ZJN1013	77.7
ZJN1014	85.7
ZJN1015	82.7
ZJN1016	78.7
ZJN1019	79.7
ZJN1023	83.3
ZJN1027	78.3
ZJN1029	73.3
ZJN1032	85.0
ZJN1036	84.3
ZJN1037	85.3
ZJN1038	86.3
ZJN1039	81.0
ZJN1042	83.3
ZJN1044	78.3
ZJN1045	83.3
ZJN1046	82.3
ZJN1055	77.3
ZJN1059	82.0
ZJN1072	80.0
ZJN1074	84.0
ZJN1075	75.0
ZJN1078	70.0
ZJN1080	82.0
ZJN1082	85.7
ZJN1085	79.3
ZJN1086	86.0
ZJN1087	80.0
ZJN1088	83.7
ZJN1089	80.7
ZJN1091	83.7
ZJN1092	85.3
ZJN1095	83.0
ZJN1100	70.0
ZJN1101	86.0
ZJN1105	83.7
ZJN1106	75.7
ZJN1111	70.0
ZJN1112	80.0
ZJN1114	76.7
ZJN1116	77.0
ZJN1118	76.0
ZJN1119	85.0
ZJN1123	79.3
ZJN1128	85.7
ZJN1129	81.7
ZJN1130	76.7
ZJN1131	78.3
ZJN1142	80.3
ZJN1143	83.0
ZJN1146	73.3
ZJN1157	78.3
ZJN1163	79.7
ZJN1164	82.7
ZJN1165	80.7
ZJN1166	73.3
ZJN1172	82.3
ZJN1177	84.3
ZJN1179	85.0
ZJN1180	82.7
ZJN1189	86.0
ZJN1190	81.7
ZJN1191	77.3
ZJN1192	79.0
ZJN1195	83.7
ZJN1198	80.0
ZJN1199	83.3
ZJN1204	82.0
ZJN1205	84.0
ZJN1208	85.0
ZJN1209	80.0
ZJN1210	78.3
ZJN1214	80.7
ZJN1218	71.7
ZJN1219	78.3
ZJN1220	82.0
ZJN1224	79.0
ZJN1226	78.7
ZJN1227	84.7
ZJN1228	81.0
ZJN1231	79.7
ZJN1234	86.3
ZJN1245	73.3
ZJN1247	84.3
ZJN1253	80.3
ZJN1254	84.0
ZJN1256	76.0
ZJN1263	84.3
ZJN1266	81.3
ZJN1268	76.3
ZJN1271	83.7
ZJN1273	85.0
ZJN1274	80.0
ZJN1278	86.0
ZJN1280	83.3
ZJN1282	76.0
ZJN1287	84.7
ZJN1289	75.7
ZJN1292	74.3
ZJN1293	71.7
ZJN1294	80.0
ZJN1297	69.3
ZJN1298	74.3
ZJN1300	74.0
ZJN1307	86.7
ZJN1310	81.7
ZJN1312	80.0
ZJN1315	83.3
ZJN1317	79.0
ZJN1319	82.3
ZJN1320	80.0
ZJN1322	84.0
ZJN1327	84.0
ZJN1328	80.0
ZJN1329	84.0
ZJN1334	82.3
ZJN1335	79.7
ZJN1336	81.3
ZJN1337	85.0
ZJN1339	81.3
ZJN1340	76.7
ZJN1341	85.3
ZJN1344	84.0
ZJN1347	81.7
ZJN1354	76.7
ZJN1356	75.3
ZJN1359	81.3
ZJN1362	83.7
ZJN1363	84.0
ZJN1366	74.3
ZJN1369	75.0
ZJN1371	81.3
ZJN1378	86.0
ZJN1379	82.3
ZJN1380	82.3
ZJN1381	80.0
ZJN1382	83.3
ZJN1384	78.7
ZJN1386	83.3
ZJN1387	81.7
ZJN1391	74.7
ZJN1393	82.0
ZJN1394	81.0
ZJN1395	84.3
ZJN1399	83.7
ZJN1400	82.7
ZJN1401	72.3
ZJN1402	79.3
ZJN1403	76.3
ZJN1404	75.3
ZJN1405	81.7
ZJN1409	80.3
ZJN1410	81.7
ZJN1417	79.7
ZJN1421	77.3
ZJN1422	82.3
ZJN1428	82.0
ZJN1429	84.7
ZJN1432	80.3
ZJN1433	79.3
ZJN1439	77.3
ZJN1440	80.0
ZJN1444	83.0
ZJN1446	77.7
ZJN1447	75.0
ZJN1448	71.5
ZJN1452	76.0
ZJN1453	74.3
ZJN1454	82.3
ZJN1455	82.0
ZJN1456	71.0
ZJN1457	86.3
ZJN1460	85.3
ZJN1462	80.3
ZJN1464	79.7
ZJN1470	80.0
ZJN1471	82.3
ZJN1472	80.7
ZJN1476	83.3
ZJN1483	80.0
ZJN1487	79.3
ZJN1488	82.0
ZJN1491	81.3
ZJN1497	83.0
ZJN1501	79.0
ZJN1503	69.3
ZJN1504	77.3
ZJN1507	85.0
ZJN1508	81.7
ZJN1509	82.0
ZJN1511	74.3
ZJN1513	78.0
ZJN1515	81.0
ZJN1516	84.0
ZJN1521	74.3
ZJN1522	83.7
ZJN1524	85.3
ZJN1525	80.0
ZJN1526	78.3
ZJN1527	82.0
ZJN1528	78.3
ZJN1529	81.7
ZJN1530	84.0
ZJN1536	80.7
ZJN1537	84.3
ZJN1538	81.7
ZJN1540	84.0
ZJN1543	69.3
ZJN1545	85.3
ZJN1546	84.0
ZJN1547	83.0
ZJN1548	82.0
ZJN1550	82.0
ZJN1551	85.0
ZJN1552	83.0
ZJN1554	81.5
ZJN1555	79.3
ZJN1556	85.0
ZJN1558	80.3
ZJN1559	75.0
ZJN1562	84.7
ZJN1564	86.0
ZJN1568	75.7
ZJN1570	78.0
ZJN1571	81.0
ZJN1572	83.7
ZJN1573	81.0
ZJN1574	83.3
ZJN1577	81.7
ZJN1578	83.7
ZJN1579	84.7
ZJN1580	77.0
ZJN1581	79.7
ZJN1582	83.3
ZJN1583	77.3
ZJN1584	85.7
ZJN1585	80.7
ZJN1589	81.0
ZJN1590	82.7
ZJN1591	81.3
ZJN1592	78.7
ZJN1593	75.0
ZJN1594	79.0
ZJN1598	83.7
ZJN1599	80.7
ZJN1601	76.7
ZJN1603	84.0
ZJN1604	80.0
ZJN1608	80.0
ZJN1610	82.7
ZJN1612	83.3
ZJN1613	81.7
ZJN1614	81.0
ZJN1619	83.7
ZJN1620	81.0
ZJN1622	83.7
ZJN1623	81.0
ZJN1624	82.0
ZJN1625	83.3
ZJN1627	67.5
ZJN1628	72.7
ZJN1631	78.3
ZJN1634	81.0
ZJN1641	83.7
ZJN1643	83.0
ZJN1644	81.7
ZJN1657	84.7
ZJN1658	82.0
ZJN1661	74.7
ZJN1662	77.7
ZJN1663	86.5
ZJN1666	85.0
ZJN1668	82.7
ZJN1672	85.5
ZJN1674	85.5
ZJN1676	82.5
ZJN1681	87.0
ZJN1682	76.3
ZJN1685	87.0
ZJN1686	81.3
ZJN1688	82.5
ZJN1690	81.0
ZJN1694	83.0
ZJN1696	86.0
ZJN1698	86.7
ZJN1700	87.5
ZJN1702	81.7
ZJN1703	80.0
ZJN1705	84.5
ZJN1710	84.0
ZJN1714	78.0
ZJN1715	87.5
ZJN1716	85.7
ZJN1718	85.0
ZJN1721	86.5
ZJN1722	84.0
ZJN1724	84.7
ZJN1727	82.5
ZJN1728	82.0
